species;genus;family;Order;class
Saccopetalum longiflorum;Saccopetalum;Annonaceae;Magnoliales;Magnoliopsida
Micropora curtisii;Micropora;Lauraceae;Laurales;Magnoliopsida
Systemonodaphne geminiflora;Systemonodaphne;Lauraceae;Laurales;Magnoliopsida
Craibella phuyensis;Craibella;Annonaceae;Magnoliales;Magnoliopsida
Pseudannona grandiflora;Pseudannona;Annonaceae;Magnoliales;Magnoliopsida
Myrtastrum rufopunctatum;Myrtastrum;Myrtaceae;Myrtales;Magnoliopsida
Mutisiopersea urbaniana;Mutisiopersea;Lauraceae;Laurales;Magnoliopsida
Mutisiopersea costata;Mutisiopersea;Lauraceae;Laurales;Magnoliopsida
Misanteca tenuifolia;Misanteca;Lauraceae;Laurales;Magnoliopsida
Misanteca mutisii;Misanteca;Lauraceae;Laurales;Magnoliopsida
Gamanthera herrerae;Gamanthera;Lauraceae;Laurales;Magnoliopsida
Xylopia mucronata;Xylopia;Annonaceae;Magnoliales;Magnoliopsida
Xylopia longipetala;Xylopia;Annonaceae;Magnoliales;Magnoliopsida
Xylopia dehiscens;Xylopia;Annonaceae;Magnoliales;Magnoliopsida
Xylopia chrysophylla;Xylopia;Annonaceae;Magnoliales;Magnoliopsida
Guatteria laurifolia;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Piper sempervirens;Piper;Piperaceae;Pinales;Pinopsida
Piper secundum;Piper;Piperaceae;Pinales;Pinopsida
Piper san-vicentense;Piper;Piperaceae;Pinales;Pinopsida
Piper rugulosum;Piper;Piperaceae;Pinales;Pinopsida
Piper propinquum;Piper;Piperaceae;Pinales;Pinopsida
Piper productispicum;Piper;Piperaceae;Pinales;Pinopsida
Piper nanegalense;Piper;Piperaceae;Pinales;Pinopsida
Piper cumanense;Piper;Piperaceae;Pinales;Pinopsida
Piper bredemeyeri;Piper;Piperaceae;Pinales;Pinopsida
Persea pallida;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea pallescens;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea odoratissima;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea macrantha;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea gamblei;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea fruticosa;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea excelsa;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea declinata;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea caesia;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea benthamiana;Persea;Lauraceae;Magnolianae;Magnoliopsida
Piper timothianum;Piper;Piperaceae;Piperales;Magnoliopsida
Guatteria ucayalina;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria trichocarpa;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria ramiflora;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria moralesii;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria longipetiolata;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria klugii;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria juninensis;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria hispida;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria geminiflora;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria friesiana;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria eriopoda;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria darienensis;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria cryandra;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria blepharophylla;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Lecardia megaphylla;Lecardia;Celastraceae;Celastrales;Magnoliopsida
Feronia elephantum;Feronia;Rutaceae;Sapindales;Magnoliopsida
Viposia integerrima;Viposia;Celastraceae;Celastrales;Magnoliopsida
Vernoniopsis caudata;Vernoniopsis;Asteraceae;Asterales;Magnoliopsida
Urbananthus critoniformis;Urbananthus;Asteraceae;Asterales;Magnoliopsida
Salvadoropsis arenicola;Salvadoropsis;Celastraceae;Celastrales;Magnoliopsida
Quelchia cardonae;Quelchia;Asteraceae;Asterales;Magnoliopsida
Piptocoma schomburgkii;Piptocoma;Asteraceae;Asterales;Magnoliopsida
Piptocoma samanensis;Piptocoma;Asteraceae;Asterales;Magnoliopsida
Piptocoma niceforoi;Piptocoma;Asteraceae;Asterales;Magnoliopsida
Piptocoma milleri;Piptocoma;Asteraceae;Asterales;Magnoliopsida
Piptocoma macrophylla;Piptocoma;Asteraceae;Asterales;Magnoliopsida
Piptocoma discolor;Piptocoma;Asteraceae;Asterales;Magnoliopsida
Piptocoma acuminata;Piptocoma;Asteraceae;Asterales;Magnoliopsida
Oliganthes tsaratananensis;Oliganthes;Asteraceae;Asterales;Magnoliopsida
Oliganthes pseudocentauropsis;Oliganthes;Asteraceae;Asterales;Magnoliopsida
Oliganthes meranoides;Oliganthes;Asteraceae;Asterales;Magnoliopsida
Oliganthes lecomtei;Oliganthes;Asteraceae;Asterales;Magnoliopsida
Myginda fasciculata;Myginda;Celastraceae;Celastrales;Magnoliopsida
Mattfeldanthus andrade-limae;Mattfeldanthus;Asteraceae;Asterales;Magnoliopsida
Limnocitrus littoralis;Limnocitrus;Rutaceae;Sapindales;Magnoliopsida
Joseanthus trichotomus;Joseanthus;Asteraceae;Asterales;Magnoliopsida
Joseanthus sparrei;Joseanthus;Asteraceae;Asterales;Magnoliopsida
Joseanthus cuatrecasasii;Joseanthus;Asteraceae;Asterales;Magnoliopsida
Joseanthus chimborazensis;Joseanthus;Asteraceae;Asterales;Magnoliopsida
Jaramilloa hylibates;Jaramilloa;Asteraceae;Asterales;Magnoliopsida
Jailoloa halmaherensis;Jailoloa;Arecaceae;Arecales;Magnoliopsida
Idiopappus saloyensis;Idiopappus;Asteraceae;Asterales;Magnoliopsida
Grosvenoria rimbachii;Grosvenoria;Asteraceae;Asterales;Magnoliopsida
Grosvenoria campii;Grosvenoria;Asteraceae;Asterales;Magnoliopsida
Eurydochus bracteatus;Eurydochus;Asteraceae;Asterales;Magnoliopsida
Eremosis triflosculosa;Eremosis;Asteraceae;Asterales;Magnoliopsida
Eremosis shannonii;Eremosis;Asteraceae;Asterales;Magnoliopsida
Eremosis leiocarpa;Eremosis;Asteraceae;Asterales;Magnoliopsida
Eremosis heydeana;Eremosis;Asteraceae;Asterales;Magnoliopsida
Dendroviguiera puruana;Dendroviguiera;Asteraceae;Asterales;Magnoliopsida
Crossothamnus gentryi;Crossothamnus;Asteraceae;Asterales;Magnoliopsida
Critoniella acuminata;Critoniella;Asteraceae;Asterales;Magnoliopsida
Critoniadelphus nubigenus;Critoniadelphus;Asteraceae;Asterales;Magnoliopsida
Critoniadelphus microdon;Critoniadelphus;Asteraceae;Asterales;Magnoliopsida
Condylopodium cuatrecasasii;Condylopodium;Asteraceae;Asterales;Magnoliopsida
Brenandendron titanophyllum;Brenandendron;Asteraceae;Asterales;Magnoliopsida
Brenandendron frondosum;Brenandendron;Asteraceae;Asterales;Magnoliopsida
Brenandendron donianum;Brenandendron;Asteraceae;Asterales;Magnoliopsida
Berylsimpsonia vanillosma;Berylsimpsonia;Asteraceae;Asterales;Magnoliopsida
Austrocritonia angulicaulis;Austrocritonia;Asteraceae;Asterales;Magnoliopsida
Aristeguietia discolor;Aristeguietia;Asteraceae;Asterales;Magnoliopsida
Aristeguietia arborea;Aristeguietia;Asteraceae;Asterales;Magnoliopsida
Apodocephala urschiana;Apodocephala;Asteraceae;Asterales;Magnoliopsida
Apodocephala pauciflora;Apodocephala;Asteraceae;Asterales;Magnoliopsida
Apodocephala oliganthoides;Apodocephala;Asteraceae;Asterales;Magnoliopsida
Apodocephala multiflora;Apodocephala;Asteraceae;Asterales;Magnoliopsida
Apodocephala coursii;Apodocephala;Asteraceae;Asterales;Magnoliopsida
Apodocephala begueana;Apodocephala;Asteraceae;Asterales;Magnoliopsida
Apodocephala angustifolia;Apodocephala;Asteraceae;Asterales;Magnoliopsida
Amolinia heydeana;Amolinia;Asteraceae;Asterales;Magnoliopsida
Acoelorrhaphe wrightii;Acoelorrhaphe;Arecaceae;Arecales;Magnoliopsida
Achuaria hirsuta;Achuaria;Rutaceae;Sapindales;Magnoliopsida
Saribus tothur;Saribus;Arecaceae;Arecales;Magnoliopsida
Saribus chocolatinus;Saribus;Arecaceae;Arecales;Magnoliopsida
Pholidocarpus sumatranus;Pholidocarpus;Arecaceae;Arecales;Magnoliopsida
Pholidocarpus mucronatus;Pholidocarpus;Arecaceae;Arecales;Magnoliopsida
Pholidocarpus kingianus;Pholidocarpus;Arecaceae;Arecales;Magnoliopsida
Pholidocarpus ihur;Pholidocarpus;Arecaceae;Arecales;Magnoliopsida
Tetradia horsfieldii;Tetradia;Malvaceae;Malvales;Magnoliopsida
Velaga xylocarpa;Velaga;Malvaceae;Malvales;Magnoliopsida
Tarrietia peralata;Tarrietia;Malvaceae;Malvales;Magnoliopsida
Tarrietia densiflora;Tarrietia;Malvaceae;Malvales;Magnoliopsida
Tarrietia borneensis;Tarrietia;Malvaceae;Malvales;Magnoliopsida
Tarrietia albiflora;Tarrietia;Malvaceae;Malvales;Magnoliopsida
Tarrietia utilis;Tarrietia;Malvaceae;Malvales;Magnoliopsida
Erioxylum palmeri;Erioxylum;Malvaceae;Malvales;Magnoliopsida
Bombycidendron vidalianum;Bombycidendron;Malvaceae;Malvales;Magnoliopsida
Basiloxylon brasiliensis;Basiloxylon;Malvaceae;Malvales;Magnoliopsida
Atkinsia cubensis;Atkinsia;Malvaceae;Malvales;Magnoliopsida
Berberis sanctipetrii;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Berberis mikuna;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Berberis medellinensis;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Berberis lobbiana;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Berberis littoralis;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Berberis iliensis;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Berberis hartwegii;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Berberis grandiflora;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Berberis bergeriana;Berberis;Berberidaceae;Ranunculales;Magnoliopsida
Amyxa pluricornis;Amyxa;Thymelaeaceae;Malvales;Magnoliopsida
Ochrocarpos papuanus;Ochrocarpos;Clusiaceae;Malpighiales;Magnoliopsida
Ochrocarpos glaucus;Ochrocarpos;Clusiaceae;Malpighiales;Magnoliopsida
Ochrocarpos acuminatus;Ochrocarpos;Clusiaceae;Malpighiales;Magnoliopsida
Xantonnea quocensis;Xantonnea;Rubiaceae;Gentianales;Magnoliopsida
Xantonnea parvifolia;Xantonnea;Rubiaceae;Gentianales;Magnoliopsida
Vaupesia cataractarum;Vaupesia;Euphorbiaceae;Malpighiales;Magnoliopsida
Trevia nudiflora;Trevia;Euphorbiaceae;Malpighiales;Magnoliopsida
Tovomitidium speciosum;Tovomitidium;Clusiaceae;Malpighiales;Magnoliopsida
Thyrsanthera suborbicularis;Thyrsanthera;Euphorbiaceae;Malpighiales;Magnoliopsida
Teijsmanniodendron zainudinii;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron unifoliolatum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron subspicatum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron smilacifolium;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron sinclairii;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron simplicioides;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron simplicifolium;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron scaberrimum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron sarawakanum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron renageorgeae;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron punctatum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron pteropodum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron obscurinerve;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron latiffii;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron holophyllum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron hollrungii;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron havilandii;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron glabrum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron coriaceum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron bullatum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron bogoriense;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron bintuluense;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Teijsmanniodendron ahernianum;Teijsmanniodendron;Lamiaceae;Lamiales;Magnoliopsida
Taonabo japonica;Taonabo;Pentaphylacaceae;Ericales;Magnoliopsida
Strempeliopsis arborea;Strempeliopsis;Apocynaceae;Gentianales;Magnoliopsida
Semaphyllanthe intonsa;Semaphyllanthe;Rubiaceae;Gentianales;Magnoliopsida
Scyphiphora hydrophylacea;Scyphiphora;Rubiaceae;Gentianales;Magnoliopsida
Schizocalyx veraguensis;Schizocalyx;Rubiaceae;Gentianales;Magnoliopsida
Schizocalyx sterculioides;Schizocalyx;Rubiaceae;Gentianales;Magnoliopsida
Schizocalyx peruvianus;Schizocalyx;Rubiaceae;Gentianales;Magnoliopsida
Schizocalyx obovatus;Schizocalyx;Rubiaceae;Gentianales;Magnoliopsida
Schizocalyx multiflorus;Schizocalyx;Rubiaceae;Gentianales;Magnoliopsida
Schizocalyx cuspidatus;Schizocalyx;Rubiaceae;Gentianales;Magnoliopsida
Schizocalyx bracteosus;Schizocalyx;Rubiaceae;Gentianales;Magnoliopsida
Schizocalyx bracteosa;Schizocalyx;Rubiaceae;Gentianales;Magnoliopsida
Sacleuxia tuberosa;Sacleuxia;Apocynaceae;Gentianales;Magnoliopsida
Rivea hypocrateriformis;Rivea;Convolvulaceae;Solanales;Magnoliopsida
Rheedia martinii;Rheedia;Clusiaceae;Malpighiales;Magnoliopsida
Rheedia arubayensis;Rheedia;Clusiaceae;Malpighiales;Magnoliopsida
Renistipula galeottii;Renistipula;Rubiaceae;Gentianales;Magnoliopsida
Readea membranacea;Readea;Rubiaceae;Gentianales;Magnoliopsida
Pseudophyllanthus ovalis;Pseudophyllanthus;Phyllanthaceae;Malpighiales;Magnoliopsida
Pleradenophora tuerckheimiana;Pleradenophora;Asteraceae;Asterales;Magnoliopsida
Pleradenophora tikalana;Pleradenophora;Asteraceae;Asterales;Magnoliopsida
Pleradenophora membranifolia;Pleradenophora;Asteraceae;Asterales;Magnoliopsida
Pleradenophora lottiae;Pleradenophora;Asteraceae;Asterales;Magnoliopsida
Pleradenophora bilocularis;Pleradenophora;Asteraceae;Asterales;Magnoliopsida
Pilosperma quadratum;Pilosperma;Clusiaceae;Malpighiales;Magnoliopsida
Physominthe vitifolia;Physominthe;Lamiaceae;Lamiales;Magnoliopsida
Philippia simii;Philippia;Ericaceae;Ericales;Magnoliopsida
Peronema canescens;Peronema;Lamiaceae;Lamiales;Magnoliopsida
Pausinystalia brachythyrsum;Pausinystalia;Rubiaceae;Gentianales;Magnoliopsida
Oedematopus congestiflorus;Oedematopus;Clusiaceae;Malpighiales;Magnoliopsida
Muricococcum sinense;Muricococcum;Euphorbiaceae;Malpighiales;Magnoliopsida
Monadenium spinescens;Monadenium;Euphorbiaceae;Malpighiales;Magnoliopsida
Molopanthera paniculata;Molopanthera;Rubiaceae;Gentianales;Magnoliopsida
Melanoxerus suavissimus;Melanoxerus;Rubiaceae;Gentianales;Magnoliopsida
Lepiniopsis ternatensis;Lepiniopsis;Apocynaceae;Gentianales;Magnoliopsida
Lepinia taitensis;Lepinia;Apocynaceae;Gentianales;Magnoliopsida
Lepinia solomonensis;Lepinia;Apocynaceae;Gentianales;Magnoliopsida
Lepinia ponapensis;Lepinia;Apocynaceae;Gentianales;Magnoliopsida
Lepinia marquisensis;Lepinia;Apocynaceae;Gentianales;Magnoliopsida
Leeuwenbergia letestui;Leeuwenbergia;Euphorbiaceae;Malpighiales;Magnoliopsida
Leeuwenbergia africana;Leeuwenbergia;Euphorbiaceae;Malpighiales;Magnoliopsida
Kraussia speciosa;Kraussia;Rubiaceae;Gentianales;Magnoliopsida
Kraussia kirkii;Kraussia;Rubiaceae;Gentianales;Magnoliopsida
Kraussia floribunda;Kraussia;Rubiaceae;Gentianales;Magnoliopsida
Heterophragma sulfureum;Heterophragma;Bignoniaceae;Lamiales;Magnoliopsida
Heterophragma quadriloculare;Heterophragma;Bignoniaceae;Lamiales;Magnoliopsida
Havetiopsis hippocrateoides;Havetiopsis;Clusiaceae;Malpighiales;Magnoliopsida
Havetiopsis glauca;Havetiopsis;Clusiaceae;Malpighiales;Magnoliopsida
Glossocarya scandens;Glossocarya;Lamiaceae;Lamiales;Magnoliopsida
Gleasonia uaupensis;Gleasonia;Rubiaceae;Gentianales;Magnoliopsida
Gleasonia prancei;Gleasonia;Rubiaceae;Gentianales;Magnoliopsida
Gleasonia macrocalyx;Gleasonia;Rubiaceae;Gentianales;Magnoliopsida
Gleasonia duidana;Gleasonia;Rubiaceae;Gentianales;Magnoliopsida
Gleasonia cururuensis;Gleasonia;Rubiaceae;Gentianales;Magnoliopsida
Gentingia subsessilis;Gentingia;Rubiaceae;Gentianales;Magnoliopsida
Garrettia siamensis;Garrettia;Lamiaceae;Lamiales;Magnoliopsida
Donnellyanthus deamii;Donnellyanthus;Rubiaceae;Gentianales;Magnoliopsida
Digomphia laurifolia;Digomphia;Bignoniaceae;Lamiales;Magnoliopsida
Digomphia densicoma;Digomphia;Bignoniaceae;Lamiales;Magnoliopsida
Decaphalangium peruvianum;Decaphalangium;Clusiaceae;Malpighiales;Magnoliopsida
Crossopteryx febrifuga;Crossopteryx;Rubiaceae;Gentianales;Magnoliopsida
Cornutia thyrsoidea;Cornutia;Lamiaceae;Lamiales;Magnoliopsida
Cornutia pyramidata;Cornutia;Lamiaceae;Lamiales;Magnoliopsida
Cornutia odorata;Cornutia;Lamiaceae;Lamiales;Magnoliopsida
Cornutia obovata;Cornutia;Lamiaceae;Lamiales;Magnoliopsida
Cornutia australis;Cornutia;Lamiaceae;Lamiales;Magnoliopsida
Chorisandrachne diplosperma;Chorisandrachne;Phyllanthaceae;Malpighiales;Magnoliopsida
Callichlamys latifolia;Callichlamys;Bignoniaceae;Lamiales;Magnoliopsida
Balakata luzonica;Balakata;Euphorbiaceae;Malpighiales;Magnoliopsida
Balakata baccata;Balakata;Euphorbiaceae;Malpighiales;Magnoliopsida
Argocoffeopsis lemblinii;Argocoffeopsis;Rubiaceae;Gentianales;Magnoliopsida
Argocoffeopsis eketensis;Argocoffeopsis;Rubiaceae;Gentianales;Magnoliopsida
Airosperma vanuense;Airosperma;Rubiaceae;Gentianales;Magnoliopsida
Airosperma trichotomum;Airosperma;Rubiaceae;Gentianales;Magnoliopsida
Airosperma grandifolia;Airosperma;Rubiaceae;Gentianales;Magnoliopsida
Acunaeanthus tinifolius;Acunaeanthus;Rubiaceae;Gentianales;Magnoliopsida
Vitex vansteenisii;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex turczaninowii;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex queenslandica;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex mossambicensis;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex milnei;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex millsii;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex madiensis;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex hispidissima;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex ferruginea;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex bojeri;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Vitex axillariflora;Vitex;Lamiaceae;Lamiales;Magnoliopsida
Cordia integrifolia;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia brittonii;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Gardenia sambiranensis;Gardenia;Rubiaceae;Gentianales;Magnoliopsida
Gardenia manongarivensis;Gardenia;Rubiaceae;Gentianales;Magnoliopsida
Gardenia brevicalyx;Gardenia;Rubiaceae;Gentianales;Magnoliopsida
Eurya yakushimensis;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya tsingpienensis;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya taronensis;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya sandwichensis;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya ryozoana;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya rugosa;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya rigida;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya pittosporifolia;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya paratetragonoclada;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya pahangensis;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya marlipoensis;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya luchunensis;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya groffi;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya degeneri;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Eurya celebica;Eurya;Pentaphylacaceae;Ericales;Magnoliopsida
Cordia wagnerorum;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia vignei;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia suffruticosa;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia scouleri;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia scaberrima;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia rosei;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia rhombifolia;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia resinosa;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia oliverii;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia linearicalycina;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia intricata;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia iberica;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia haitiensis;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia guerkeana;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia domestica;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia discolor;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia dewevrei;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia clarendonensis;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia buddleoides;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia blancoi;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia bequaertii;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia bellonis;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia barbata;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia bahamensis;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia andersonii;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Cordia acunae;Cordia;Boraginaceae;Boraginales;Magnoliopsida
Celosia monosperma;Celosia;Amaranthaceae;Caryophyllales;Magnoliopsida
Aralia tomentella;Aralia;Araliaceae;Apiales;Magnoliopsida
Aralia montana;Aralia;Araliaceae;Apiales;Magnoliopsida
Alstonia longifolia;Alstonia;Apocynaceae;Gentianales;Magnoliopsida
Alstonia costata;Alstonia;Apocynaceae;Gentianales;Magnoliopsida
Ribes canescens;Ribes;Grossulariaceae;Saxifragales;Magnoliopsida
Oncocarpus vitiensis;Oncocarpus;Anacardiaceae;Sapindales;Magnoliopsida
Oncocarpus densiflorus;Oncocarpus;Anacardiaceae;Sapindales;Magnoliopsida
Microstemon velutinus;Microstemon;Anacardiaceae;Sapindales;Magnoliopsida
Microstemon curtisii;Microstemon;Anacardiaceae;Sapindales;Magnoliopsida
Plectomirtha baylisiana;Plectomirtha;Anacardiaceae;Sapindales;Magnoliopsida
Stachycrater philippinus;Stachycrater;Salicaceae;Malpighiales;Magnoliopsida
Odina cotoneaster;Odina;Anacardiaceae;Sapindales;Magnoliopsida
Pierrea dictyoneura;Pierrea;Salicaceae;Malpighiales;Magnoliopsida
Terminthia paniculata;Terminthia;Anacardiaceae;Sapindales;Magnoliopsida
Acsmithia reticulata;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia pulleana;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia parvifolia;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia meridionalis;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia integrifolia;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia davidsonii;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia collina;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Sadymia villosa;Sadymia;Salicaceae;Malpighiales;Magnoliopsida
Macrothumia kuhlmannii;Macrothumia;Salicaceae;Malpighiales;Magnoliopsida
Lithraea molleoides;Lithraea;Anacardiaceae;Sapindales;Magnoliopsida
Leiospermum racemosum;Leiospermum;Cunoniaceae;Oxalidales;Magnoliopsida
Haplospondias haplophylla;Haplospondias;Anacardiaceae;Sapindales;Magnoliopsida
Duvaua dependens;Duvaua;Anacardiaceae;Sapindales;Magnoliopsida
Acsmithia pubescens;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia pedunculata;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia elliptica;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia densiflora;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Acsmithia brongniartiana;Acsmithia;Cunoniaceae;Oxalidales;Magnoliopsida
Rhus longipes;Rhus;Anacardiaceae;Sapindales;Magnoliopsida
Rhus incisa;Rhus;Anacardiaceae;Sapindales;Magnoliopsida
Rhus anchietae;Rhus;Anacardiaceae;Sapindales;Magnoliopsida
Rhus taratana;Rhus;Anacardiaceae;Sapindales;Magnoliopsida
Rhus oxyacantha;Rhus;Anacardiaceae;Sapindales;Magnoliopsida
Myrcia portoricensis;Myrcia;Myrtaceae;Myrtales;Magnoliopsida
Myrcia ilheosensis;Myrcia;Myrtaceae;Myrtales;Magnoliopsida
Myrcia heringeriana;Myrcia;Myrtaceae;Myrtales;Magnoliopsida
Myrcia fenzliana;Myrcia;Myrtaceae;Myrtales;Magnoliopsida
Myrcia eugenioides;Myrcia;Myrtaceae;Myrtales;Magnoliopsida
