sp,N,N_geoOK,N_geoKO,rangeMethod,Ncells
Abarema_abbottii,3,3,0,Points-PointsKO-Adjacents,21
Abarema_acreana,18,9,9,Points-PointsKO-Adjacents,162
Abarema_adenophora,141,77,64,Alphahull-PointsKO-Adjacents,4552
Abarema_alexandri,2,2,0,Points-PointsKO-Adjacents,18
Abarema_asplenifolia,1,1,0,Points-PointsKO-Adjacents,8
Abarema_auriculata,74,40,34,Alphahull-PointsKO-Adjacents,2275
Abarema_barbouriana,304,221,83,Alphahull-PointsKO-Adjacents,21281
Abarema_brachystachya,172,0,172,Points-PointsKO-Adjacents,976
Abarema_callejasii,14,6,8,Points-PointsKO-Adjacents,94
Abarema_campestris,35,10,25,Points-PointsKO-Adjacents,245
Abarema_centiflora,2,2,0,Points-PointsKO-Adjacents,18
Abarema_cochleata,157,112,45,Alphahull-PointsKO-Adjacents,6740
Abarema_cochliocarpos,37,18,19,Points-PointsKO-Adjacents,212
Abarema_commutata,9,3,6,Points-PointsKO-Adjacents,81
Abarema_curvicarpa,24,7,17,Points-PointsKO-Adjacents,165
Abarema_ferruginea,8,0,8,Points-PointsKO-Adjacents,48
Abarema_filamentosa,280,217,63,Alphahull-PointsKO-Adjacents,2064
Abarema_floribunda,85,41,44,Alphahull-PointsKO-Adjacents,2906
Abarema_gallorum,6,2,4,Points-PointsKO-Adjacents,41
Abarema_ganymedea,8,2,6,Points-PointsKO-Adjacents,61
Abarema_glauca,19,1,18,Points-PointsKO-Adjacents,134
Abarema_idiopoda,103,69,34,Alphahull-PointsKO-Adjacents,1160
Abarema_josephi,6,1,5,Points-PointsKO-Adjacents,54
Abarema_jupunba,1143,995,148,Alphahull-PointsKO-Adjacents,82831
Abarema_killipii,48,29,19,Alphahull-PointsKO-Adjacents,408
Abarema_laeta,218,168,50,Alphahull-PointsKO-Adjacents,17332
Abarema_langsdorffii,311,257,54,Alphahull-PointsKO-Adjacents,4390
Abarema_lehmannii,60,47,13,Alphahull-PointsKO-Adjacents,497
Abarema_leucophylla,72,55,17,Alphahull-PointsKO-Adjacents,2135
Abarema_levelii,9,1,8,Points-PointsKO-Adjacents,63
Abarema_longipedunculata,15,6,9,Points-PointsKO-Adjacents,102
Abarema_macradenia,58,40,18,Alphahull-PointsKO-Adjacents,584
Abarema_mataybifolia,57,28,29,Alphahull-PointsKO-Adjacents,4898
Abarema_microcalyx,88,49,39,Alphahull-PointsKO-Adjacents,2163
Abarema_nipensis,3,3,0,Points-PointsKO-Adjacents,25
Abarema_obovalis,24,9,15,Points-PointsKO-Adjacents,179
Abarema_obovata,10,0,10,Points-PointsKO-Adjacents,87
Abarema_oppositifolia,17,9,8,Points-PointsKO-Adjacents,105
Abarema_oxyphyllidia,3,3,0,Points-PointsKO-Adjacents,27
Abarema_racemiflora,20,15,5,Points-PointsKO-Adjacents,99
Abarema_turbinata,61,41,20,Alphahull-PointsKO-Adjacents,267
Abarema_villifera,13,0,13,Points-PointsKO-Adjacents,88
Abarema_zolleriana,14,4,10,Points-PointsKO-Adjacents,96
Abatia_mexicana,33,22,11,Alphahull-PointsKO-Adjacents,395
Abatia_parviflora,251,206,45,Alphahull-PointsKO-Adjacents,2706
Abatia_rugosa,5,5,0,Points-PointsKO-Adjacents,30
Abatia_spicata,7,0,7,Points-PointsKO-Adjacents,51
Abelia_corymbosa,0,0,0,NA,0
Abeliophyllum_distichum,1,1,0,Points-PointsKO-Adjacents,9
Abies_alba,8215,7585,630,Alphahull-PointsKO-Adjacents,34631
Abies_amabilis,1492,1455,37,Alphahull-PointsKO-Adjacents,5879
Abies_balsamea,13381,13128,253,Alphahull-PointsKO-Adjacents,47637
Abies_beshanzuensis,1,1,0,Points-PointsKO-Adjacents,9
Abies_bracteata,78,65,13,Alphahull-PointsKO-Adjacents,113
Abies_cephalonica,38,30,8,Alphahull-PointsKO-Adjacents,754
Abies_chensiensis,38,22,16,Alphahull-PointsKO-Adjacents,1024
Abies_cilicica,21,11,10,Points-PointsKO-Adjacents,151
Abies_concolor,4937,4870,67,Alphahull-PointsKO-Adjacents,25907
Abies_delavayi,59,37,22,Alphahull-PointsKO-Adjacents,933
Abies_densa,16,0,16,Points-PointsKO-Adjacents,129
Abies_durangensis,110,81,29,Alphahull-PointsKO-Adjacents,3836
Abies_fabri,25,14,11,Points-PointsKO-Adjacents,195
Abies_fanjingshanensis,NA,NA,NA,NA,NA
Abies_fargesii,69,50,19,Alphahull-PointsKO-Adjacents,2145
Abies_firma,173,121,52,Alphahull-PointsKO-Adjacents,1679
Abies_forrestii,95,80,15,Alphahull-PointsKO-Adjacents,1438
Abies_fraseri,51,47,4,Alphahull-PointsKO-Adjacents,347
Abies_grandis,4608,4516,92,Alphahull-PointsKO-Adjacents,10821
Abies_guatemalensis,221,180,41,Alphahull-PointsKO-Adjacents,4486
Abies_hickelii,96,82,14,Alphahull-PointsKO-Adjacents,1158
Abies_hidalgensis,6,3,3,Points-PointsKO-Adjacents,36
Abies_holophylla,10,7,3,Points-PointsKO-Adjacents,72
Abies_homolepis,69,51,18,Alphahull-PointsKO-Adjacents,365
Abies_jaliscana,6,2,4,Points-PointsKO-Adjacents,44
Abies_kawakamii,80,72,8,Alphahull-PointsKO-Adjacents,93
Abies_koreana,7,3,4,Points-PointsKO-Adjacents,24
Abies_lasiocarpa,12154,0,12154,Points-PointsKO-Adjacents,11486
Abies_magnifica,1018,0,1018,Points-PointsKO-Adjacents,1733
Abies_mariesii,49,34,15,Alphahull-PointsKO-Adjacents,444
Abies_nebrodensis,3,3,0,Points-PointsKO-Adjacents,12
Abies_nephrolepis,16,2,14,Points-PointsKO-Adjacents,144
Abies_nordmanniana,36,17,19,Points-PointsKO-Adjacents,266
Abies_numidica,1,1,0,Points-PointsKO-Adjacents,9
Abies_pindrow,45,22,23,Alphahull-PointsKO-Adjacents,734
Abies_pinsapo,192,162,30,Alphahull-PointsKO-Adjacents,3034
Abies_procera,456,0,456,Points-PointsKO-Adjacents,1195
Abies_recurvata,35,26,9,Alphahull-PointsKO-Adjacents,1424
Abies_religiosa,565,528,37,Alphahull-PointsKO-Adjacents,5131
Abies_sachalinensis,19,9,10,Points-PointsKO-Adjacents,153
Abies_sibirica,41,9,32,Points-PointsKO-Adjacents,369
Abies_spectabilis,33,0,33,Points-PointsKO-Adjacents,218
Abies_squamata,29,19,10,Points-PointsKO-Adjacents,218
Abies_veitchii,29,16,13,Points-PointsKO-Adjacents,144
Abies_vejarii,72,0,72,Points-PointsKO-Adjacents,260
Abies_yuanbaoshanensis,1,1,0,Points-PointsKO-Adjacents,9
Abies_ziyuanensis,1,1,0,Points-PointsKO-Adjacents,9
Abrahamia_deflexa,17,2,15,Points-PointsKO-Adjacents,148
Abrahamia_ditimena,135,113,22,Alphahull-PointsKO-Adjacents,1968
Abrahamia_grandidieri,72,54,18,Alphahull-PointsKO-Adjacents,2124
Abrahamia_humbertii,11,2,9,Points-PointsKO-Adjacents,68
Abrahamia_latifolia,8,3,5,Points-PointsKO-Adjacents,55
Abrahamia_lecomtei,15,6,9,Points-PointsKO-Adjacents,85
Abrahamia_louvelii,6,1,5,Points-PointsKO-Adjacents,41
Abrahamia_oblongifolia,14,0,14,Points-PointsKO-Adjacents,73
Abrahamia_sericea,73,52,21,Alphahull-PointsKO-Adjacents,766
Abrahamia_thouvenotii,53,39,14,Alphahull-PointsKO-Adjacents,371
Abrahamia_viguieri,23,1,22,Points-PointsKO-Adjacents,135
Abuta_grandifolia,1152,1092,60,Alphahull-PointsKO-Adjacents,81890
Abuta_grisebachii,26,4,22,Points-PointsKO-Adjacents,216
Abuta_imene,91,32,59,Alphahull-PointsKO-Adjacents,7024
Abuta_panurensis,14,0,14,Points-PointsKO-Adjacents,120
Abuta_rufescens,78,28,50,Alphahull-PointsKO-Adjacents,3036
Abuta_sandwithiana,129,70,59,Alphahull-PointsKO-Adjacents,10546
Abuta_seemannii,13,6,7,Points-PointsKO-Adjacents,57
Abuta_velutina,22,5,17,Points-PointsKO-Adjacents,162
Abutilon_giganteum,80,38,42,Alphahull-PointsKO-Adjacents,3455
Abutilon_grandidentatum,16,12,4,Points-PointsKO-Adjacents,51
Abutilon_haenkeanum,4,4,0,Points-PointsKO-Adjacents,36
Abutilon_herzogianum,23,18,5,Points-PointsKO-Adjacents,149
Abutilon_incanum,368,319,49,Alphahull-PointsKO-Adjacents,6360
Abutilon_leonardii,0,0,0,NA,0
Abutilon_peruvianum,34,14,20,Points-PointsKO-Adjacents,218
Abutilon_purpusii,83,55,28,Alphahull-PointsKO-Adjacents,1168
Abutilon_pyramidale,3,3,0,Points-PointsKO-Adjacents,24
Abutilon_sachetianum,1,1,0,Points-PointsKO-Adjacents,3
Abutilon_stenopetalum,7,0,7,Points-PointsKO-Adjacents,32
Abutilon_thyrsodendron,36,25,11,Alphahull-PointsKO-Adjacents,636
Abutilon_venosum,2,2,0,Points-PointsKO-Adjacents,18
Acacia_acradenia,626,584,42,Alphahull-PointsKO-Adjacents,22716
Acacia_acrionastes,35,28,7,Alphahull-PointsKO-Adjacents,72
Acacia_acuminata,945,908,37,Alphahull-PointsKO-Adjacents,9925
Acacia_adsurgens,474,431,43,Alphahull-PointsKO-Adjacents,18016
Acacia_adunca,144,125,19,Alphahull-PointsKO-Adjacents,645
Acacia_aestivalis,108,0,108,Points-PointsKO-Adjacents,457
Acacia_alleniana,268,242,26,Alphahull-PointsKO-Adjacents,3480
Acacia_amblyophylla,11,3,8,Points-PointsKO-Adjacents,49
Acacia_amentacea,50,38,12,Alphahull-PointsKO-Adjacents,482
Acacia_ammobia,90,81,9,Alphahull-PointsKO-Adjacents,227
Acacia_ammophila,25,24,1,Alphahull-PointsKO-Adjacents,39
Acacia_amoena,130,112,18,Alphahull-PointsKO-Adjacents,1397
Acacia_ampliata,14,0,14,Points-PointsKO-Adjacents,95
Acacia_ampliceps,307,0,307,Points-PointsKO-Adjacents,1262
Acacia_anastema,31,23,8,Alphahull-PointsKO-Adjacents,160
Acacia_anaticeps,45,38,7,Alphahull-PointsKO-Adjacents,1172
Acacia_ancistrocarpa,905,861,44,Alphahull-PointsKO-Adjacents,17836
Acacia_aneura,6721,6661,60,Alphahull-PointsKO-Adjacents,51792
Acacia_anfractuosa,94,86,8,Alphahull-PointsKO-Adjacents,350
Acacia_angusta,169,130,39,Alphahull-PointsKO-Adjacents,3514
Acacia_anisophylla,36,22,14,Alphahull-PointsKO-Adjacents,369
Acacia_anthochaera,144,135,9,Alphahull-PointsKO-Adjacents,729
Acacia_aprepta,86,68,18,Alphahull-PointsKO-Adjacents,785
Acacia_aptaneura,702,629,73,Alphahull-PointsKO-Adjacents,29608
Acacia_arafurica,22,18,4,Points-PointsKO-Adjacents,121
Acacia_araneosa,41,37,4,Alphahull-PointsKO-Adjacents,29
Acacia_arenaria,17,3,14,Points-PointsKO-Adjacents,147
Acacia_areolata,42,36,6,Alphahull-PointsKO-Adjacents,176
Acacia_argyrodendron,81,66,15,Alphahull-PointsKO-Adjacents,1819
Acacia_armillata,25,13,12,Points-PointsKO-Adjacents,119
Acacia_armitii,36,19,17,Points-PointsKO-Adjacents,163
Acacia_asak,9,2,7,Points-PointsKO-Adjacents,81
Acacia_assimilis,479,456,23,Alphahull-PointsKO-Adjacents,3362
Acacia_atopa,22,19,3,Points-PointsKO-Adjacents,137
Acacia_attenuata,40,27,13,Alphahull-PointsKO-Adjacents,118
Acacia_aulacocarpa,482,429,53,Alphahull-PointsKO-Adjacents,6740
Acacia_auriculiformis,1329,0,1329,Points-PointsKO-Adjacents,2679
Acacia_auripila,4,4,0,Points-PointsKO-Adjacents,18
Acacia_ausfeldii,181,166,15,Alphahull-PointsKO-Adjacents,221
Acacia_axillaris,63,56,7,Alphahull-PointsKO-Adjacents,154
Acacia_ayersiana,538,481,57,Alphahull-PointsKO-Adjacents,18042
Acacia_baileyana,988,741,247,Alphahull-PointsKO-Adjacents,7780
Acacia_bakeri,145,0,145,Points-PointsKO-Adjacents,266
Acacia_bancroftiorum,289,257,32,Alphahull-PointsKO-Adjacents,3725
Acacia_barrettiorum,8,3,5,Points-PointsKO-Adjacents,39
Acacia_beauverdiana,145,0,145,Points-PointsKO-Adjacents,538
Acacia_binervata,1190,1097,93,Alphahull-PointsKO-Adjacents,1632
Acacia_binervia,681,536,145,Alphahull-PointsKO-Adjacents,1864
Acacia_blakei,591,560,31,Alphahull-PointsKO-Adjacents,5397
Acacia_blakelyi,311,292,19,Alphahull-PointsKO-Adjacents,737
Acacia_blayana,20,18,2,Points-PointsKO-Adjacents,37
Acacia_brachystachya,670,618,52,Alphahull-PointsKO-Adjacents,25704
Acacia_brassii,116,98,18,Alphahull-PointsKO-Adjacents,722
Acacia_brevispica,160,110,50,Alphahull-PointsKO-Adjacents,7630
Acacia_brockii,50,40,10,Alphahull-PointsKO-Adjacents,126
Acacia_bromilowiana,19,13,6,Points-PointsKO-Adjacents,122
Acacia_brumalis,106,95,11,Alphahull-PointsKO-Adjacents,976
Acacia_bulgaensis,42,36,6,Alphahull-PointsKO-Adjacents,50
Acacia_burrowii,323,304,19,Alphahull-PointsKO-Adjacents,3814
Acacia_burrowsiana,11,7,4,Points-PointsKO-Adjacents,64
Acacia_caerulescens,30,23,7,Alphahull-PointsKO-Adjacents,54
Acacia_caesaneura,310,283,27,Alphahull-PointsKO-Adjacents,3846
Acacia_caesia,14,3,11,Points-PointsKO-Adjacents,90
Acacia_caesiella,238,219,19,Alphahull-PointsKO-Adjacents,1446
Acacia_calamifolia,1438,1401,37,Alphahull-PointsKO-Adjacents,8433
Acacia_calcicola,363,310,53,Alphahull-PointsKO-Adjacents,12429
Acacia_cambagei,1014,983,31,Alphahull-PointsKO-Adjacents,21890
Acacia_cana,159,127,32,Alphahull-PointsKO-Adjacents,1656
Acacia_cangaiensis,32,22,10,Alphahull-PointsKO-Adjacents,55
Acacia_cardiophylla,121,87,34,Alphahull-PointsKO-Adjacents,2021
Acacia_carneorum,239,230,9,Alphahull-PointsKO-Adjacents,1336
Acacia_caroleae,516,490,26,Alphahull-PointsKO-Adjacents,3977
Acacia_catenulata,177,149,28,Alphahull-PointsKO-Adjacents,4458
Acacia_celastrifolia,135,123,12,Alphahull-PointsKO-Adjacents,520
Acacia_celsa,115,96,19,Alphahull-PointsKO-Adjacents,264
Acacia_chartacea,93,81,12,Alphahull-PointsKO-Adjacents,284
Acacia_cheelii,210,193,17,Alphahull-PointsKO-Adjacents,1741
Acacia_chiapensis,18,12,6,Points-PointsKO-Adjacents,83
Acacia_chrysotricha,18,11,7,Points-PointsKO-Adjacents,24
Acacia_cincinnata,126,84,42,Alphahull-PointsKO-Adjacents,397
Acacia_citrinoviridis,162,145,17,Alphahull-PointsKO-Adjacents,3158
Acacia_clunies-rossiae,101,95,6,Alphahull-PointsKO-Adjacents,44
Acacia_cockertoniana,64,56,8,Alphahull-PointsKO-Adjacents,463
Acacia_cognata,359,0,359,Points-PointsKO-Adjacents,454
Acacia_colei,690,648,42,Alphahull-PointsKO-Adjacents,15292
Acacia_colletioides,1488,1418,70,Alphahull-PointsKO-Adjacents,12322
Acacia_complanata,483,0,483,Points-PointsKO-Adjacents,1153
Acacia_concinna,7,0,7,Points-PointsKO-Adjacents,29
Acacia_concurrens,773,680,93,Alphahull-PointsKO-Adjacents,3753
Acacia_conferta,570,539,31,Alphahull-PointsKO-Adjacents,5896
Acacia_confusa,219,129,90,Alphahull-PointsKO-Adjacents,1599
Acacia_conniana,56,40,16,Alphahull-PointsKO-Adjacents,210
Acacia_conspersa,139,116,23,Alphahull-PointsKO-Adjacents,2723
Acacia_convallium,55,49,6,Alphahull-PointsKO-Adjacents,352
Acacia_coolgardiensis,371,351,20,Alphahull-PointsKO-Adjacents,4906
Acacia_coriacea,270,232,38,Alphahull-PointsKO-Adjacents,12947
Acacia_courtii,10,5,5,Points-PointsKO-Adjacents,18
Acacia_covenyi,25,17,8,Points-PointsKO-Adjacents,95
Acacia_cowaniana,6,4,2,Points-PointsKO-Adjacents,32
Acacia_cowleana,645,587,58,Alphahull-PointsKO-Adjacents,15366
Acacia_craspedocarpa,293,268,25,Alphahull-PointsKO-Adjacents,3240
Acacia_crassa,509,491,18,Alphahull-PointsKO-Adjacents,4487
Acacia_crassicarpa,323,285,38,Alphahull-PointsKO-Adjacents,2416
Acacia_crassiuscula,68,49,19,Alphahull-PointsKO-Adjacents,547
Acacia_crenulata,14,9,5,Points-PointsKO-Adjacents,80
Acacia_cretacea,27,22,5,Alphahull-PointsKO-Adjacents,44
Acacia_cretata,84,76,8,Alphahull-PointsKO-Adjacents,908
Acacia_crombiei,40,32,8,Alphahull-PointsKO-Adjacents,245
Acacia_cultriformis,324,0,324,Points-PointsKO-Adjacents,937
Acacia_cuspidifolia,49,37,12,Alphahull-PointsKO-Adjacents,1860
Acacia_cuthbertsonii,477,0,477,Points-PointsKO-Adjacents,2289
Acacia_cyclops,720,610,110,Alphahull-PointsKO-Adjacents,3078
Acacia_cyperophylla,322,280,42,Alphahull-PointsKO-Adjacents,8037
Acacia_dallachiana,79,75,4,Alphahull-PointsKO-Adjacents,162
Acacia_dangarensis,8,0,8,Points-PointsKO-Adjacents,16
Acacia_davyi,47,35,12,Alphahull-PointsKO-Adjacents,656
Acacia_dawsonii,263,237,26,Alphahull-PointsKO-Adjacents,1408
Acacia_dealbata,4346,4181,165,Alphahull-PointsKO-Adjacents,8717
Acacia_deanei,2799,0,2799,Points-PointsKO-Adjacents,4792
Acacia_debilis,89,74,15,Alphahull-PointsKO-Adjacents,936
Acacia_decora,2550,2470,80,Alphahull-PointsKO-Adjacents,14021
Acacia_decurrens,1510,1105,405,Alphahull-PointsKO-Adjacents,7401
Acacia_delibrata,85,73,12,Alphahull-PointsKO-Adjacents,522
Acacia_demissa,56,48,8,Alphahull-PointsKO-Adjacents,548
Acacia_dempsteri,57,50,7,Alphahull-PointsKO-Adjacents,357
Acacia_dentifera,110,85,25,Alphahull-PointsKO-Adjacents,463
Acacia_desertorum,57,0,57,Points-PointsKO-Adjacents,244
Acacia_desmondii,22,19,3,Points-PointsKO-Adjacents,75
Acacia_didyma,20,14,6,Points-PointsKO-Adjacents,48
Acacia_dietrichiana,119,102,17,Alphahull-PointsKO-Adjacents,2337
Acacia_difficilis,1307,1262,45,Alphahull-PointsKO-Adjacents,7597
Acacia_difformis,217,197,20,Alphahull-PointsKO-Adjacents,1836
Acacia_disparrima,404,329,75,Alphahull-PointsKO-Adjacents,2535
Acacia_distans,59,47,12,Alphahull-PointsKO-Adjacents,873
Acacia_dodonaeifolia,221,185,36,Alphahull-PointsKO-Adjacents,929
Acacia_dolichophylla,28,24,4,Alphahull-PointsKO-Adjacents,35
Acacia_donaldsonii,35,21,14,Alphahull-PointsKO-Adjacents,673
Acacia_doratoxylon,1534,0,1534,Points-PointsKO-Adjacents,2768
Acacia_drepanophylla,23,0,23,Points-PointsKO-Adjacents,116
Acacia_dunnii,191,1,190,Points-PointsKO-Adjacents,758
Acacia_duriuscula,62,50,12,Alphahull-PointsKO-Adjacents,2176
Acacia_echinuliflora,36,33,3,Alphahull-PointsKO-Adjacents,119
Acacia_effusifolia,327,305,22,Alphahull-PointsKO-Adjacents,3540
Acacia_elachantha,470,422,48,Alphahull-PointsKO-Adjacents,16112
Acacia_elata,658,511,147,Alphahull-PointsKO-Adjacents,1119
Acacia_elongata,1006,0,1006,Points-PointsKO-Adjacents,1182
Acacia_enervia,167,151,16,Alphahull-PointsKO-Adjacents,1789
Acacia_ensifolia,100,87,13,Alphahull-PointsKO-Adjacents,1306
Acacia_ephedroides,77,70,7,Alphahull-PointsKO-Adjacents,794
Acacia_eremaea,100,0,100,Points-PointsKO-Adjacents,448
Acacia_eriopoda,270,237,33,Alphahull-PointsKO-Adjacents,7101
Acacia_erubescens,97,55,42,Alphahull-PointsKO-Adjacents,3565
Acacia_estrophiolata,744,714,30,Alphahull-PointsKO-Adjacents,5807
Acacia_excelsa,648,614,34,Alphahull-PointsKO-Adjacents,13206
Acaena_exigua,0,0,0,NA,0
Acacia_exudans,25,16,9,Points-PointsKO-Adjacents,91
Acacia_falcata,1962,1622,340,Alphahull-PointsKO-Adjacents,4847
Acacia_falciformis,2724,0,2724,Points-PointsKO-Adjacents,3139
Acacia_fasciculifera,153,126,27,Alphahull-PointsKO-Adjacents,2221
Acacia_fauntleroyi,55,41,14,Alphahull-PointsKO-Adjacents,280
Acacia_filicifolia,1163,1129,34,Alphahull-PointsKO-Adjacents,2531
Acacia_filifolia,39,0,39,Points-PointsKO-Adjacents,209
Acacia_fimbriata,1317,1131,186,Alphahull-PointsKO-Adjacents,6856
Acacia_flavescens,322,0,322,Points-PointsKO-Adjacents,1053
Acacia_fleckeri,44,36,8,Alphahull-PointsKO-Adjacents,141
Acacia_fleckii,77,56,21,Alphahull-PointsKO-Adjacents,7236
Acacia_flocktoniae,36,0,36,Points-PointsKO-Adjacents,99
Acacia_floribunda,2146,1807,339,Alphahull-PointsKO-Adjacents,4812
Acacia_floydii,39,32,7,Alphahull-PointsKO-Adjacents,49
Acacia_frigescens,60,48,12,Alphahull-PointsKO-Adjacents,141
Acacia_fulva,47,41,6,Alphahull-PointsKO-Adjacents,54
Acacia_fuscaneura,198,176,22,Alphahull-PointsKO-Adjacents,4449
Acacia_galeata,41,32,9,Alphahull-PointsKO-Adjacents,182
Acacia_gardneri,36,28,8,Alphahull-PointsKO-Adjacents,226
Acacia_georgensis,42,37,5,Alphahull-PointsKO-Adjacents,45
Acacia_georginae,512,488,24,Alphahull-PointsKO-Adjacents,251
Acacia_gerrardii,296,221,75,Alphahull-PointsKO-Adjacents,24255
Acacia_gibbosa,68,63,5,Alphahull-PointsKO-Adjacents,864
Acacia_gillii,243,229,14,Alphahull-PointsKO-Adjacents,191
Acacia_glaucocaesia,21,15,6,Points-PointsKO-Adjacents,122
Acacia_glaucocarpa,207,0,207,Points-PointsKO-Adjacents,807
Acacia_gnidium,49,31,18,Alphahull-PointsKO-Adjacents,1703
Acacia_goetzei,67,27,40,Alphahull-PointsKO-Adjacents,2747
Acacia_gonocarpa,658,630,28,Alphahull-PointsKO-Adjacents,5637
Acacia_gonoclada,370,334,36,Alphahull-PointsKO-Adjacents,12263
Acacia_grandifolia,42,33,9,Alphahull-PointsKO-Adjacents,88
Acacia_grasbyi,213,177,36,Alphahull-PointsKO-Adjacents,6636
Acacia_guarensis,NA,NA,NA,NA,NA
Acacia_gummifera,2,1,1,Points-PointsKO-Adjacents,18
Acacia_hakeoides,2621,2527,94,Alphahull-PointsKO-Adjacents,10162
Acacia_hamersleyensis,110,100,10,Alphahull-PointsKO-Adjacents,397
Acacia_hammondii,552,515,37,Alphahull-PointsKO-Adjacents,8186
Acacia_hamulosa,44,18,26,Points-PointsKO-Adjacents,346
Acacia_harmandiana,0,0,0,NA,0
Acacia_harpophylla,732,691,41,Alphahull-PointsKO-Adjacents,10395
Acacia_havilandiorum,471,445,26,Alphahull-PointsKO-Adjacents,6868
Acacia_hebeclada,102,67,35,Alphahull-PointsKO-Adjacents,10748
Acacia_hemignosta,944,895,49,Alphahull-PointsKO-Adjacents,16331
Acacia_hemsleyi,245,200,45,Alphahull-PointsKO-Adjacents,9523
Acacia_heteroclita,104,77,27,Alphahull-PointsKO-Adjacents,885
Acacia_heterophylla,4,4,0,Points-PointsKO-Adjacents,19
Acacia_holosericea,1648,1557,91,Alphahull-PointsKO-Adjacents,26705
Acacia_holotricha,26,12,14,Points-PointsKO-Adjacents,132
Acacia_homaloclada,13,8,5,Points-PointsKO-Adjacents,18
Acacia_horrida,0,0,0,NA,0
Acacia_howittii,67,27,40,Alphahull-PointsKO-Adjacents,595
Acacia_hydaspica,14,0,14,Points-PointsKO-Adjacents,120
Acacia_hylonoma,15,0,15,Points-PointsKO-Adjacents,33
Acacia_implexa,4448,4081,367,Alphahull-PointsKO-Adjacents,10159
Acacia_inaequilatera,289,245,44,Alphahull-PointsKO-Adjacents,10162
Acacia_inceana,93,80,13,Alphahull-PointsKO-Adjacents,1598
Acacia_incurvaneura,389,346,43,Alphahull-PointsKO-Adjacents,11504
Acacia_ingramii,92,82,10,Alphahull-PointsKO-Adjacents,129
Acacia_inophloia,25,21,4,Alphahull-PointsKO-Adjacents,170
Acacia_intorta,25,19,6,Points-PointsKO-Adjacents,129
Acacia_irrorata,2794,2622,172,Alphahull-PointsKO-Adjacents,3601
Acacia_islana,21,15,6,Points-PointsKO-Adjacents,49
Acacia_ixodes,136,116,20,Alphahull-PointsKO-Adjacents,2069
Acacia_jacquemontii,0,0,0,NA,0
Acacia_jamesiana,76,60,16,Alphahull-PointsKO-Adjacents,2997
Acacia_jasperensis,75,62,13,Alphahull-PointsKO-Adjacents,672
Acacia_jennerae,261,212,49,Alphahull-PointsKO-Adjacents,12077
Acacia_jensenii,47,26,21,Alphahull-PointsKO-Adjacents,1518
Acacia_jibberdingensis,138,119,19,Alphahull-PointsKO-Adjacents,2019
Acacia_jucunda,135,117,18,Alphahull-PointsKO-Adjacents,1137
Acacia_julifera,566,0,566,Points-PointsKO-Adjacents,2121
Acacia_kauaiensis,3,3,0,Points-PointsKO-Adjacents,12
Acacia_kelleri,105,94,11,Alphahull-PointsKO-Adjacents,826
Acacia_kempeana,1782,1741,41,Alphahull-PointsKO-Adjacents,27777
Acacia_kenneallyi,7,2,5,Points-PointsKO-Adjacents,34
Acacia_kettlewelliae,245,0,245,Points-PointsKO-Adjacents,580
Acacia_koa,65,48,17,Alphahull-PointsKO-Adjacents,167
Acacia_koaia,9,2,7,Points-PointsKO-Adjacents,60
Acacia_kuhlmannii,9,0,9,Points-PointsKO-Adjacents,79
Acacia_lacertensis,52,47,5,Alphahull-PointsKO-Adjacents,373
Acacia_lamprocarpa,1703,1646,57,Alphahull-PointsKO-Adjacents,6822
Acacia_lasiocalyx,402,0,402,Points-PointsKO-Adjacents,1632
Acacia_latescens,733,699,34,Alphahull-PointsKO-Adjacents,2898
Acacia_latifolia,332,258,74,Alphahull-PointsKO-Adjacents,11182
Acacia_latior,89,78,11,Alphahull-PointsKO-Adjacents,425
Acacia_latzii,33,29,4,Alphahull-PointsKO-Adjacents,89
Acacia_leeuweniana,8,4,4,Points-PointsKO-Adjacents,42
Acacia_legnota,46,32,14,Alphahull-PointsKO-Adjacents,618
Acacia_leiocalyx,1568,0,1568,Points-PointsKO-Adjacents,3538
Acacia_leiophylla,564,542,22,Alphahull-PointsKO-Adjacents,742
Acacia_leprosa,387,0,387,Points-PointsKO-Adjacents,1163
Acacia_leptocarpa,962,893,69,Alphahull-PointsKO-Adjacents,9178
Acacia_leptoloba,80,72,8,Alphahull-PointsKO-Adjacents,433
Acacia_leptopetala,171,155,16,Alphahull-PointsKO-Adjacents,1768
Acacia_leptostachya,761,719,42,Alphahull-PointsKO-Adjacents,7477
Acacia_leucoclada,323,298,25,Alphahull-PointsKO-Adjacents,3370
Acacia_ligulata,6142,5964,178,Alphahull-PointsKO-Adjacents,61204
Acacia_ligustrina,90,78,12,Alphahull-PointsKO-Adjacents,637
Acacia_linearifolia,477,432,45,Alphahull-PointsKO-Adjacents,1560
Acacia_linifolia,1739,1387,352,Alphahull-PointsKO-Adjacents,886
Acacia_loderi,306,277,29,Alphahull-PointsKO-Adjacents,4078
Acacia_longifolia,7166,6177,989,Alphahull-PointsKO-Adjacents,11685
Acacia_longiphyllodinea,72,66,6,Alphahull-PointsKO-Adjacents,359
Acacia_longispicata,351,327,24,Alphahull-PointsKO-Adjacents,3514
Acacia_longispinea,259,241,18,Alphahull-PointsKO-Adjacents,3514
Acacia_longissima,659,500,159,Alphahull-PointsKO-Adjacents,2370
Acacia_loroloba,62,52,10,Alphahull-PointsKO-Adjacents,211
Acacia_lucens,NA,NA,NA,NA,NA
